Location ID,10/12 Usage,11/12 Usage,12/12 Usage,1/13 Usage,2/13 Usage,3/13 Usage,4/13 Usage,5/13 Usage,6/13 Usage,7/13 Usage,8/13 Usage,9/13 Usage,Service Address
68318,1,2,1,1,1,1,0,2,1,1,3,2,206 ALEXANDER AVE
68320,1,1,2,2,1,1,10,39,2,1,2,1,200 ALEXANDER AVE
68322,1,1,1,1,1,1,1,2,1,1,1,2,311 W ASH ST
68324,6,4,3,2,4,3,3,3,3,0,3,4,309 W ASH ST
68326,3,3,3,3,4,2,0,0,0,0,1,1,307 W ASH ST
68328,14,10,8,10,7,10,7,11,7,13,8,10,303 W ASH ST 
68330,0,0,0,0,0,0,0,0,0,0,0,0,301 W ASH ST 
68334,1,2,1,2,3,2,2,2,3,2,2,4,207 ALEXANDER AVE
68336,4,4,4,4,5,1,4,5,4,4,5,3,209 ALEXANDER AVE 
68338,1,1,0,0,0,1,0,1,1,4,1,5,211 ALEXANDER AVE 
68342,2,1,1,1,1,1,1,2,1,2,2,1,301 ALEXANDER AVE 
68344,4,4,4,6,5,3,4,6,5,7,7,6,303 ALEXANDER AVE 
68346,4,6,4,5,5,6,4,11,7,6,6,5,305 ALEXANDER AVE
68348,0,0,0,0,0,0,1,1,1,1,2,6,307 ALEXANDER AVE
68350,4,3,3,3,4,3,3,4,6,6,5,4,309 ALEXANDER AVE
68352,1,1,2,2,1,2,1,2,1,1,1,2,311 ALEXANDER AVE 
68354,5,5,5,5,5,4,7,6,5,6,6,6,401 ALEXANDER AVE 
68356,5,6,4,4,5,5,4,6,5,5,5,5,403 ALEXANDER AVE
68358,0,1,0,0,1,0,0,0,0,0,0,0,405 ALEXANDER AVE
68362,2,3,3,4,4,1,3,3,3,6,7,9,407 ALEXANDER AVE
68364,1,0,1,1,1,1,1,1,1,0,1,1,409 ALEXANDER AVE 
68366,3,4,3,5,1,3,2,3,2,1,1,2,411 ALEXANDER AVE
68368,2,4,2,2,2,3,3,2,2,3,3,3,413 ALEXANDER AVE 
68370,7,7,6,7,6,6,4,7,4,5,3,5,415 ALEXANDER AVE 
68372,3,2,3,2,3,3,2,3,3,3,3,2,417 ALEXANDER AVE 
68374,4,4,4,5,5,2,0,2,1,2,2,2,419 ALEXANDER AVE
68376,3,3,3,2,3,1,1,2,2,1,2,1,419 ALEXANDER AVE APT
68378,3,5,4,3,4,3,4,4,3,3,3,4,421 ALEXANDER AVE
68380,10,7,7,9,7,9,6,11,8,16,11,12,400 W WORLEY ST
68382,15,10,5,12,8,11,8,11,9,9,10,16,402 W WORLEY ST
68384,0,12,4,7,6,6,3,6,6,6,5,6,406 W WORLEY ST 
68386,0,1,2,1,0,2,0,2,0,1,1,1,408 W WORLEY ST 
68394,0,0,1,1,1,1,0,1,1,2,1,1,420 SANFORD AVE 
68396,4,5,3,4,4,4,3,4,3,5,4,4,418 SANFORD AVE
68398,0,0,9,0,0,0,0,0,0,1,2,2,416 SANFORD AVE 
68404,4,3,4,3,4,3,1,2,4,5,1,1,410 SANFORD AVE
68406,3,5,4,2,0,1,1,0,1,0,4,15,408 SANFORD AVE 
68410,12,12,8,7,6,17,11,13,12,12,14,13,402 SANFORD AVE
68412,6,6,5,6,5,5,6,7,5,5,5,3,400 SANFORD AVE
68414,3,3,2,3,1,1,2,1,3,2,4,3,312 SANFORD AVE 
68418,6,6,5,6,5,6,4,7,7,7,8,9,306 SANFORD AVE 
68420,4,6,4,6,5,4,5,5,5,6,4,5,304 SANFORD AVE
68422,3,3,2,4,4,2,3,4,2,3,3,3,302 SANFORD AVE
68424,4,3,2,1,3,2,1,3,1,3,2,3,300 SANFORD AVE 
68426,4,3,3,3,4,1,3,6,4,12,6,5,212 SANFORD AVE
68428,2,5,4,6,5,2,5,5,5,3,5,5,210 SANFORD AVE
